Name,Company,Position,LinkedIn 
Baris Ozistek,Joygame Publishing,Chairman,https://www.linkedin.com/in/baris-ozistek-b071374
Cyril Solal,Squadded,Co-Founder,https://www.linkedin.com/in/cyrilcs
Mustafa Bilge,LootCopter Game Studio,VP of Growth and Product,https://www.linkedin.com/in/mbilge
Zeynep Ekin,The Estée Lauder Companies,Retail Human Resources Intern,https://www.linkedin.com/in/zeynep-ekin-m-0ba97b19b
Ibrahim Betil,Ali İsmail Korkmaz Vakfı - ALİKEV,Board Member,https://www.linkedin.com/in/ibrahim-betil-0a0b623
Johan Bahia,SMARTONE GLOBAL,Managing Partner,https://www.linkedin.com/in/johanbahia
Patrick McDermott,Action for Happiness in Abu Dhabi,Local Champion,https://www.linkedin.com/in/patrickmcdermott
Gadi Porat,JVP,General Partner,https://www.linkedin.com/in/gadi-porat-0708871
Jonathan Jacobi,Checkout.com,Principal Risk Analyst,https://www.linkedin.com/in/yonatanjacobi
Vijay Agicha,Naspers,"Global Head of Strategy, M&A and Investments, PayU (Prosus Group)",https://www.linkedin.com/in/vijay-agicha-8533792
Serkan Bagce,Fongogo,General Manager,https://www.linkedin.com/in/serkanbagce
Mandip Dulay,IMPACT Middle East,Founding Partner,https://www.linkedin.com/in/mandipdulay
Ornit Shinar,RAIN Merchant Bank,Partner,https://www.linkedin.com/in/ornit-shinar-b80173
Tamar Bezalel,cnvrg.io,Head of B2B Supply,https://www.linkedin.com/in/tamar-reshef-bezalel-7702411b
Amit Giladi,Shopsea,Co-founder,https://www.linkedin.com/in/amitgiladi
Yagmur Agirbas,Bunge,R&D Application Intern,https://www.linkedin.com/in/yagmur-agirbas
Sagi Eckhaus,iCape - Empowering Retailers and Malls to maximize their business potential,Co-Founder & CEO,https://www.linkedin.com/in/sagi-eckhaus-680b321
Tal Dahabani,Frutiz Animation,Founder & CEO,https://www.linkedin.com/in/tal-dahabani-871b6a9a
Mandar Joshi,9Unicorns,Shareholder I Partner,https://www.linkedin.com/in/mandarjoshidubai
Ran Oz,CommonGround-AI,Co-Founder and CTO,https://www.linkedin.com/in/ranoz
Obaid Bokisha,Etisalat,Managing Director,https://www.linkedin.com/in/obaid-bokisha-069a6922
Rotem Gindi,APPUSH (NASDAQ: MGIC),Co-founder & Co-CEO,https://www.linkedin.com/in/rotem-gindi-2a658871
Wael Aly,Nissan Motor,"Senior Manager, AMIEO Crisis Management Section",https://www.linkedin.com/in/wael-farouk
Wael Kaskas,Haleon,VP Marketing - MEA,https://www.linkedin.com/in/wael-kaskas-80299a13
Amir Farha,BECO Capital,Founder,https://www.linkedin.com/in/amirfarha
Alp Yelkenbicer,EGİAD,President,https://www.linkedin.com/in/alp-avni-yelkenbicer-b0949a41
Volkan Onguc,The Coca-Cola Company,"Revenue Growth Management (RGM), Senior Director / Eurasia & Middle East Operating Unit",https://www.linkedin.com/in/volkanonguc
Elad Kushnir,Celery,Investor,https://www.linkedin.com/in/eladkushnir
Nabil Abdallah,SER Group,VP Sales and Managing Director,https://www.linkedin.com/in/nabil-ben-abdallah-70588740
Eugene Kreinin,Faireez inc.,Angel Investor,https://www.linkedin.com/in/eugenekreinin
Emil Guberman,GeoCloud.AI,Chief Executive Officer,https://www.linkedin.com/in/emilguberman
