Name,Company,Position,LinkedIn 
Yaron Elad,Elron Ventures,Chief Executive Officer at Elron Ventures,https://www.linkedin.com/in/yaron-elad-aa7a213b
Shaik Hamdan,Rdock,Co-Founder & CEO,https://www.linkedin.com/in/hamdan
Efi Shema,Wilson's Bird Capital,Managing Partner,https://www.linkedin.com/in/efi-shema-93090554
Saar Wilf,Bzigo,Chairman,https://www.linkedin.com/in/saar-wilf-b8a227
Georges R Chakar,,CEO - Executive Coach - Senior Strategy Director - Transformation Advisor - Communications Expert - Hospitality Professional - Growth Enabler - Think Tank facilitator -,https://www.linkedin.com/in/georges-r-chakar
Onur Topac,Inveo Yatırım Holding,CEO,https://www.linkedin.com/in/onur-topac
Tiran Hakobyan,Seaside Startup Summit,Director-MENA Region,https://www.linkedin.com/in/tiran-hakobyan-a74539a3
Yuval Cohen,StageOne Ventures,Founder & Managing Partner,https://www.linkedin.com/in/yuval-cohen-55b89
Erhan Acar,Bond Digital,Chief Executive Officer,https://www.linkedin.com/in/erhan-acar-1a3a8a2
Aaron Rinberg,Battery Ventures,Partner,https://www.linkedin.com/in/aaronrinberg
Shlomi Dolev,New Jersey Institute of Technology,Adjunct Professor,https://www.linkedin.com/in/shlomi-dolev-a848644
Cem Once,Intergen Genetic and Rare Diseases Diagnosis R&D,Chief Executive Officer,https://www.linkedin.com/in/cem-once-88b4001
Amit Ashkenazi,Microsoft,Account Technology Strategist,https://www.linkedin.com/in/amit-ashkenazi-961b0425
Altay Tinar,DoktorTakvimi,Co-Founder DocPlanner (Eniyihekim.com),https://www.linkedin.com/in/altaytinar
Vasily Tsvetkov,innogy International Middle East,Senior Consultant / Project Leader,https://www.linkedin.com/in/vasily-tsvetkov-67883a41
Koray Bahar,Figopara,Co-Founder & CEO,https://www.linkedin.com/in/koraybahar
Hatem Dowidar,e&,Group CEO,https://www.linkedin.com/in/hatem-dowidar-7362b6
Paul Vittecoq,SIX INCH INTERIOR DECORATION,General Manager,https://www.linkedin.com/in/paul-vittecoq-4a184430
Natan Amid,Bllink,Board Member,https://www.linkedin.com/in/natan-amid-691b8910a
Ariel Finkelstein,WiseStamp,Venture Partner,https://www.linkedin.com/in/arielfin
Yigit Aktulga,biftek.co,Angel Investor,https://www.linkedin.com/in/yigitaktulga
Alvaro Delbes,Boston Consulting Group,Associate Director,https://www.linkedin.com/in/alvarogarciadeoteyza
Tzvi Appel,UPC Precision Castings Ltd.,Board member and investor,https://www.linkedin.com/in/tzvi-appel-b15ba536
Moez Sacoor,YPO,Member Ypo Dubai Downtown,https://www.linkedin.com/in/moez-sacoor-7b55288a
Ebora Uygun,,Founder & CEO,https://www.linkedin.com/in/dr-e-bora-uygun-a768b744
Genco Alp,Lokum Games,Founder & CEO,https://www.linkedin.com/in/genco-alp-4359171
Mehmet Atici,Earlybird Venture Capital,Partner,https://www.linkedin.com/in/msatici
Shiran Shalev,Battery Ventures,Partner,https://www.linkedin.com/in/shiranshalev
Cenk Serdar,TechOne Venture Capital,Investment Committee Member,http://www.linkedin.com/in/cenkserdar
Uri Fligil,Medinol,Sales and Marketing Executive,https://www.linkedin.com/in/urifligil
Abdelhameed Sharara,Agora School of Business,Professor of Entrepeneurship Practice,https://www.linkedin.com/in/abdelhameed-sharara-6a983456
Murat Ö.,Key of Change Consultancy&Education,Founder,https://www.linkedin.com/in/mozanlar
Mosam Gadia,noon,building noon pay,https://www.linkedin.com/in/mosamgadia
Yoav Shaked,AIVF,Board Member,https://www.linkedin.com/in/yoav-shaked-2001355
Uri Arazy,Israel,Columbia University fu Foundation School of Engineering and Applied Science,https://www.linkedin.com/in/uri-arazy-15143
Ronen Saar,,Organizational Development Specialist,https://www.linkedin.com/in/ronen
Omri Krigel,Secret Chord Ventures,Founder & Managing Partner,https://www.linkedin.com/in/omri-krigel-831b073
Aviv Garten,,Co-Founder @ HomeHero. To create. To take risks. To live your passion. To be an entrepreneur.,https://www.linkedin.com/in/aviv-garten-3a6980174
Iri Amirav,JLL Technologies,"Vice President Of Business Development, Revenue",https://www.linkedin.com/in/amirav
Zafer Tokcanli,Buddy Performance,Co-Founder & Board Member,https://www.linkedin.com/in/zafer-şafak-tokcanli-b25545a
Gal Yissar,New Legend Entertainment Ltd,CEO and CO-FOUNDER,https://www.linkedin.com/in/galyissar
Shuli Gilutz,Tel Aviv University,Programme Officer (Child Rights & Digital Business),https://www.linkedin.com/in/shuligilutz
Selcuk Sarac,Mars Datacenter,Founder - Managing Director,https://www.linkedin.com/in/selcuk-sarac-1682755
Boaz Kantor,Future Energy Ventures,Advisor,https://www.linkedin.com/in/boazkantor
Rajiv Dalmia,Data Direct Group,Founder and Chairman,https://www.linkedin.com/in/rajiv-dalmia-725808111
Dror Ceder,Lumen,Founder & Chief Growth Officer,https://www.linkedin.com/in/drorceder
Bugra Celik,imece,Board Member,https://www.linkedin.com/in/bugracelik
Alexander Abasheev,McKinsey & Company,Senior Associate,https://www.linkedin.com/in/alexanderabasheev
Yoav Tzruya,JVP,General Partner,https://www.linkedin.com/in/yoav-tzruya-36198b
Gonen Fink,Palo Alto Networks,Senior Vice President & Head of Israel R&D Center,https://www.linkedin.com/in/gonenfink
Guy Shinar,Javelin Medical,Co-founder and CTO,https://www.linkedin.com/in/guy-shinar-1458ab18
Zvika Orron,Viola Ventures,General Partner,https://www.linkedin.com/in/zvika-orron-29697b40
Pinar Kutsal,Crenvo İK,Co-Founder,https://www.linkedin.com/in/pkutsal
Amir Fridman,Western Digital,"Director, Corporate Development and Capital Investments",https://www.linkedin.com/in/amirfridman
Nofar Schnider,StageOne Ventures,Principal,https://www.linkedin.com/in/nofar-schnider
Fred Bosch,chunk foods,Board Member/advisor,https://www.linkedin.com/in/fredv1
Adi Zukovsky,Battery Ventures,Partner,https://www.linkedin.com/in/adidangot
Erman Turan,Avane Cloud Kitchens,Investor,https://www.linkedin.com/in/ermanturan
Mohamed El-Hawary,Estasherny App,Founder & CEO,https://www.linkedin.com/in/mmamdouh-1136
Sinan Guler,Guler Legacy,Co-Founder,https://www.linkedin.com/in/sinanguler32
Dima Shafranovich,InsurMedix Inc.,Founding Investor,https://www.linkedin.com/in/dima-shafranovich-120474195
